Id,PostHistoryTypeId,PostId,RevisionGUID,Edit_TimeStamp,UserId,Edit_Comment
119543140,5,46181,b116b399-712b-4441-b2bb-7036f8263287,2016-06-02T16:58:36,28802,small fix in snippet
133735279,5,46181,df0cbc17-c105-433e-b5b0-dca8a932c81f,2016-12-13T10:36:48,1218618,"change submit event to click event because the generated iframe to run the code snippet is blocked due to: ""is sandboxed and the 'allow-forms' permission is not set."""
158017198,5,46181,ce096051-c972-4312-a475-31ced9dbc59a,2017-10-10T12:33:45,314015,"fixed, what I beleive is a typo in first regex, escaping closing bracket after @"
162728003,5,46181,c8f5c387-635c-466e-8b84-a692db5d7d95,2017-12-13T18:55:16,4015870,Adding support non cases sensitive emails by lower casing the email before running the test.
165478422,5,46181,27a0421f-f8c9-46d6-a673-727b06cc0dc1,2018-01-25T22:53:25,1223975,added 8 characters in body
169149545,5,46181,d3d7bec0-6569-4b7c-a081-5be41e291b7e,2018-03-16T21:33:26,259526,Little jQuery improvement
67533,2,48199,81eeee04-5290-4950-9c4b-a264e0bed419,2008-09-07T06:28:34,1554,NA
67534,5,48199,e0db7835-ad2b-4906-ba38-7e785ff2a095,2008-09-07T06:40:42,1554,added 192 characters in body
51446558,5,48199,ea229124-bc7e-4726-88eb-ab9bc1246e71,2013-11-14T07:56:29,-1,  Show the meaning of arguments
51446559,24,48199,ea229124-bc7e-4726-88eb-ab9bc1246e71,2013-11-14T07:56:29,,"Proposed by 203.202.234.246|0482ae2b-91bc-4817-820b-e22f829fab13 approved by 17255, 1035257, 467853 edit id of 986085"
87638730,5,48199,10ae2126-3880-4c70-8c2e-f4c1e5385841,2015-04-08T12:36:10,1083838,"improved formatting, add -o switch."
87638731,24,48199,10ae2126-3880-4c70-8c2e-f4c1e5385841,2015-04-08T12:36:10,,"Proposed by 1083838 approved by 1068870, 436560, 2441442 edit id of 1795764"
124262426,5,48199,7209ebc2-29a8-4b5c-8871-53efe753d48e,2016-08-05T10:28:26,2642204,deleted 14 characters in body
73901,2,52713,1940b0ef-d8bd-417e-8713-a90e66cfdfc1,2008-09-09T19:37:40,5422,NA
15463110,5,52713,54b2c4df-e6e7-44b4-a9ba-fe1f6d6b1c73,2011-08-13T01:42:58,40914,added the command git checkout -- . command that has 17 & 10 upvotes in the comments.
66016142,5,52713,706d3f34-ea34-4858-b5a6-2229dfd56600,2014-05-27T12:04:56,1977104,code formatted to highlight the period(.) sign at the end
66016143,24,52713,706d3f34-ea34-4858-b5a6-2229dfd56600,2014-05-27T12:04:56,,"Proposed by 1977104 approved by 1944896, 128660, 490374 edit id of 1357402"
69326709,8,52713,660a1233-202e-4952-af2d-f651952307fa,2014-07-14T21:58:19,,Rollback to [54b2c4df-e6e7-44b4-a9ba-fe1f6d6b1c73]
173080373,5,52713,d124f796-1d12-4873-9fb3-ea0c19e9b059,2018-05-09T21:29:53,194894,edited body
186604929,5,52713,4cb40ac6-dc06-473f-9fa6-8ab76e06c11b,2018-11-26T20:37:33,5456794,Add note about argument ambiguation
186604930,24,52713,4cb40ac6-dc06-473f-9fa6-8ab76e06c11b,2018-11-26T20:37:33,,"Proposed by 5456794 approved by 1106247, 3187077 edit id of 4024311"
186613930,5,52713,37e546ab-02dc-4a00-ad8d-029570fcd142,2018-11-26T23:54:49,5456794,Fix formatting
186613931,24,52713,37e546ab-02dc-4a00-ad8d-029570fcd142,2018-11-26T23:54:49,,"Proposed by 5456794 approved by 3825, 318964 edit id of 4024796"
92978,2,64966,2ee91832-a4b0-4fd1-aee1-b82f1e491f8f,2008-09-15T17:32:56,,NA
4527703,5,64966,d8647564-8119-4a6e-ad3c-3996ce44a09c,2010-02-10T12:11:27,52444,reformatted
4527822,5,64966,112f2f9c-b308-41ab-9751-225b9141c9c1,2010-02-10T12:24:15,12855,added 2 characters in body
21118612,5,64966,01da41fa-ef3e-4d90-b30b-2e451a3e2e67,2012-02-15T21:34:34,458193,#NAME?
23412630,5,64966,ed866bee-de13-4425-8bba-7b252be7d5e1,2012-04-18T10:39:02,11208,some spacing for easier reading
36279443,5,64966,ab8e29d9-b949-4796-bbc8-e881a85a8df2,2013-02-20T20:53:53,61754,Add link to manual page
41735925,16,64966,af42f0a9-c12c-4501-a72f-aef1d4a62abf,2013-06-05T23:25:30,625403,NA
41735926,5,64966,af42f0a9-c12c-4501-a72f-aef1d4a62abf,2013-06-05T23:25:30,625403,Reword sentence to remove ambiguity
44949437,5,64966,febe3f04-4789-44d5-9fbb-9c77f4a8eac8,2013-08-07T06:51:41,561309,"to avoid accidentally copying and pasting the ""."""
45809241,5,64966,78992c11-2e25-4ae7-8eec-ae329570aecb,2013-08-22T23:56:21,390897,Add a warning...
74904696,5,64966,d08dc0d7-4eb9-4c69-a8b9-381e3da67b44,2014-10-05T19:02:57,1068546,edited body
77573201,5,64966,9c876c0d-d079-44e0-ad0d-6c32f970586d,2014-11-13T09:30:39,251491,added easier/prefered methods in using the answer
91513028,5,64966,9fca37ba-0225-493e-b7a8-3b3d46928057,2015-05-28T10:59:34,4830165,Stop talking about obsolete pre-1.6 syntax
97839679,5,64966,75a8dfa8-8c9c-46f0-99b0-7dbfa8819e07,2015-08-20T12:39:32,1421196,Added dry run full command to make it more clear
100712261,5,64966,b0645318-7099-46c7-a88c-4462e6b6d7ce,2015-09-29T16:23:37,123671,Put warning BEFORE dangerous command. 
100712735,5,64966,243c3977-431e-4671-a8e2-8317e7349f2b,2015-09-29T16:30:52,123671,deleted 13 characters in body
100713679,5,64966,e71126ac-48ba-49d6-adf9-6178ac0d6f16,2015-09-29T16:43:58,123671,added 21 characters in body
123064154,5,64966,4c01eb6f-7b72-4e9e-9140-809a331b3e13,2016-07-20T13:24:15,285795,Put in actual quote from clean docs. Removed supeflous personal pronoun usages.
124277228,5,64966,eb826719-05cc-4c04-8f69-446bcc004a61,2016-08-05T13:47:16,6519111,options
131708892,5,64966,1bacfd09-4568-4d30-8b86-6f88da7a4ee6,2016-11-16T16:06:07,1867857,the -f tag is not needed 
126174,2,89243,1d441e0e-1ac0-4050-8bb1-e68310e5eae5,2008-09-18T01:39:35,11465,NA
13985171,5,89243,7c75b449-8a1b-483f-984a-c166f61b4b74,2011-06-21T14:15:48,525872,link to docs
13985172,24,89243,7c75b449-8a1b-483f-984a-c166f61b4b74,2011-06-21T14:15:48,,"Proposed by 525872 approved by 52598, 513838 edit id of 63880"
14430263,5,89243,2796b5d7-4ddb-4f45-b182-70ca31f8e0ca,2011-07-07T14:22:47,45935,edited body
26074282,5,89243,04e5543a-43e4-4d56-a211-205f367ac31d,2012-06-27T20:27:51,298479,added 55 characters in body
92567384,5,89243,0d72ff22-af68-4ab4-bed3-f9992e215b84,2015-06-11T06:14:56,2174742,corrected link for python 2 version. Note: python site is updated
92567385,24,89243,0d72ff22-af68-4ab4-bed3-f9992e215b84,2015-06-11T06:14:56,,"Proposed by 2174742 approved by 908939, 1829783, 1686291 edit id of 1917542"
131460402,5,89243,fa58f23e-5f27-472c-83ab-6d596cab4532,2016-11-13T17:18:03,12892,improved formatting
133757435,5,89243,702042b6-1b91-442b-8176-b293053eb4d7,2016-12-13T15:09:35,16148,removed superfluous comment
138351180,5,89243,0696d221-da14-4660-b16f-26b38ebd930b,2017-02-14T13:05:52,917272,"os.system() does not appear to be currently deprecated, provide different links to python 2/3 docs"
138351181,24,89243,0696d221-da14-4660-b16f-26b38ebd930b,2017-02-14T13:05:52,,"Proposed by 917272 approved by 4621513, 351893, 493729 edit id of 2974332"
174787590,5,89243,ec0f2ab7-a6f4-444f-a0a5-939784440931,2018-06-03T14:41:52,63550,Active reading.
183792228,5,89243,4acac6d7-80f3-4546-839b-d1cc23e1d7d8,2018-10-15T11:47:05,9087835,Remove Python 2 - subprocess link because it will retire 2020
183792229,24,89243,4acac6d7-80f3-4546-839b-d1cc23e1d7d8,2018-10-15T11:47:05,,"Proposed by 9087835 approved by 6103001, 4358680 edit id of 3961332"
987431,2,101945,a3a00aff-d2c2-4371-a186-26911e701019,2008-09-19T13:47:15,17624,NA
987432,5,101945,8984c6ff-1c50-4bf8-b360-3c4e4eb57df4,2008-09-19T13:57:15,17624,added 17 characters in body
987433,5,101945,ca12945f-1709-49ab-9092-278d060a904e,2009-02-25T11:11:27,1037,added example that returns 'False' (see comments)
1371285,16,101945,e5e7da74-2787-4c0a-93b2-364802adcb5b,2008-09-21T15:00:38,-1,NA
3191984,5,101945,72cbde7c-cfa2-4a5d-a941-2066a8e57785,2009-10-21T18:44:04,12983,improved formatting for easier readability (hopefully)
6023161,5,101945,daac51a8-63e0-446f-b2eb-f0191ab07032,2010-05-27T10:33:47,17624,added 3 characters in body
20141631,5,101945,1690aa74-c3b3-4d98-b5da-7425c167b0d4,2012-01-18T16:23:51,247556,title using heading tag
148276,2,105074,1858e5c9-c832-4e16-a52d-982ee6886cdf,2008-09-19T20:05:25,3560,NA
148277,5,105074,837e0ff2-0780-424f-be12-62391727885a,2008-09-19T20:11:12,3560,added 641 characters in body
11253941,5,105074,7b4b39fc-c34b-46aa-aa14-dec89db0d691,2011-03-11T12:56:33,-1,Change formatting
11253942,24,105074,7b4b39fc-c34b-46aa-aa14-dec89db0d691,2011-03-11T12:56:33,,"Proposed by 89.188.118.214|1c7741da-399b-4a2d-99d9-77d8982f48f9 approved by 13302, 68587, 405015 edit id of 16251"
11271295,5,105074,8ca11919-6cb3-498d-a7ec-ccf0d5cc155e,2011-03-12T05:21:10,3560,deleted 55 characters in body
28687036,5,105074,7f22a7a0-a556-41d6-b4cd-45a919577f1f,2012-09-01T03:00:54,206413,"For clarity's sake, I humbly propose some clean-up."
28687037,24,105074,7f22a7a0-a556-41d6-b4cd-45a919577f1f,2012-09-01T03:00:54,,"Proposed by 206413 approved by 1431239, 268074 edit id of 371009"
35562014,5,105074,0207bd23-4240-4df6-83bf-87575cd307b3,2013-02-06T10:11:31,398546,added 87 characters in body
35589761,5,105074,c5e01e74-cd9f-450b-b635-d57bba1ee365,2013-02-06T19:04:52,109538,"Added strike-thru to all incorrect parts of this answer (i.e. everything.)  Frankly, this answer should just be deleted as not helpful. :p"
35668816,5,105074,1f21ca8f-be48-4304-8c14-7bf22226b65f,2013-02-08T05:49:58,109538,Restore correct behavior (as provided in original answer)
61483844,5,105074,6889ecf6-8a3d-4a82-8bc9-27528cfeee8c,2014-03-27T21:55:57,205229,added 7 characters in body
62070514,16,105074,cab8d406-900e-4367-8c42-880bfe4b918c,2014-04-04T07:13:35,1379093,NA
64322850,5,105074,a0573d61-9a2f-4c2a-a0db-e8c5e7fcafb7,2014-05-04T01:04:02,552067,Code optimisation
83517623,5,105074,0de45665-6283-416e-9887-8ebd3a5a0371,2015-02-11T03:31:45,440094,Simplify guid function.
106176153,5,105074,578acbcc-784c-4512-9227-61bf0bae77f5,2015-12-11T14:39:52,-1,Website link took you to malicious site.
106176154,24,105074,578acbcc-784c-4512-9227-61bf0bae77f5,2015-12-11T14:39:52,,"Proposed by 24.154.45.242|abed1f68-cbd3-4bbb-a1af-c3cf2b184915 approved by 1204393, 828366, 341671 edit id of 2230149"
109797641,5,105074,1d843acd-5bb1-49a9-aeb1-4ef263769c6d,2016-02-01T15:33:50,601179,deleted 96 characters in body
110595116,5,105074,963df0c1-ed50-4a4c-b8ec-c784f6dd4bd1,2016-02-11T10:56:47,1432801,Add demo
137845261,5,105074,67460886-5fb5-4a78-bd7b-f995fbe93f4a,2017-02-08T04:29:30,4597,Make it explicit that this answer is wrong
158101822,5,105074,750abec0-beed-45ca-ae08-3622e42396ec,2017-10-11T12:29:11,1835379,Removing dead onclick handler
167400892,5,105074,567a621d-ddb3-4ccb-947b-153b52d67400,2018-02-21T18:30:16,6384636,formatting the code written
180890798,5,105074,b5f6fd19-875b-4d80-b357-79da51a19b96,2018-08-31T19:51:18,102937,deleted 353 characters in body
183871114,5,105074,1c8d8999-8c54-485e-bf9c-6358fb5de61a,2018-10-16T12:21:29,3178901,same implementation but less syntax
150007,2,106223,e14a21b8-ed46-4fe9-b71f-36ede42d042f,2008-09-19T22:45:58,6508,NA
1858583,5,106223,1b20fd4b-bc07-4b56-a1dd-2d2c406f6e45,2009-06-05T23:57:26,6508,Changes to conform with comments from Neil
1858601,5,106223,c8a08ec6-d3be-4e1d-9731-4f59b2f35267,2009-06-06T00:04:18,6508,simplified the IP regular expression with information from Neil comment on the answer; added 70 characters in body
9926113,5,106223,0cef86f7-2915-428f-b027-20d414c2180b,2011-01-14T15:50:43,6508,added information about conforming RFC.; added 7 characters in body; deleted 1 characters in body
9927061,5,106223,cc85f078-231a-4ef7-abba-700ef47a26cb,2011-01-14T16:31:00,6508,labels in hostname must not being with a digit in RFC 952
31218488,5,106223,68ff5ffc-a5ec-4869-a2a9-037469432c4f,2012-10-31T13:57:05,-1,Regex updated for RFC 1123 
31218489,24,106223,68ff5ffc-a5ec-4869-a2a9-037469432c4f,2012-10-31T13:57:05,,"Proposed by 24.251.45.60|c6739688-7021-45cb-b19e-ca62d001624f approved by 42471, 77722, 128886 edit id of 448061"
189588,2,109025,1369f93a-b777-4ff1-873f-f9ef839f9cd6,2008-09-20T19:05:23,16881,NA
189589,5,109025,22650fb3-93b4-4439-966b-10c1e9137e3f,2008-09-21T17:50:01,16881,added 120 characters in body
189590,5,109025,1a11f61f-818a-4865-8a14-b40203d3bca4,2008-09-25T10:22:11,16881,added 1487 characters in body
5389589,5,109025,55d6d3b6-cef1-477d-ab31-ed95f8386dd2,2010-04-13T15:51:59,17413,added 57 characters in body
15198666,5,109025,799dc5ad-e82d-4156-943d-56c69f0f4361,2011-08-04T05:30:33,30461,Added comments.
15574809,5,109025,80364037-3e8c-46bb-bc3b-762b1e6bd104,2011-08-17T13:41:54,16881,added 71 characters in body
15699927,5,109025,dec6241a-c594-450d-bf7c-f54974569153,2011-08-22T08:55:01,16881,deleted 1010 characters in body
16524056,5,109025,d7286141-77b2-4c83-af57-18ee91db790e,2011-09-20T01:35:28,801008,gcc 4.5.2 emits a warning about not having parentheses around the + operator. The specific error message is 'suggest parentheses around '+' in operand of '&''
16524057,24,109025,d7286141-77b2-4c83-af57-18ee91db790e,2011-09-20T01:35:28,,"Proposed by 801008 approved by 106435, 500584, 61305 edit id of 108384"
39031883,16,109025,983203b2-5595-446d-8051-eb1cad7bec9c,2013-04-12T19:14:12,962111,NA
54512054,5,109025,f9fddbc6-9f89-4f86-b829-9ea1ff6b2721,2013-12-28T17:38:53,1157100,changed int to unit32_t to address portability concerns
